iter	TotalF1	MultiClass
0	0.7347292224	0.9154364678
1	0.7658562175	0.7980796157
2	0.758745184	0.7280145811
3	0.7680660605	0.6575193568
4	0.7750363454	0.6168488357
5	0.7853241732	0.5794366578
6	0.7909219026	0.5603297998
7	0.799483134	0.5421597373
8	0.8092143919	0.519325093
9	0.8177256009	0.4962505158
10	0.8253786677	0.4785370423
11	0.8368562809	0.4617609125
12	0.8375393381	0.4504904161
13	0.8438946034	0.437962584
14	0.8499063667	0.422036072
15	0.8540093964	0.4113089324
16	0.8625753974	0.3976437027
17	0.8621790096	0.3878397986
18	0.8639758432	0.3809418538
19	0.8651967212	0.3762838294
20	0.8700209153	0.3649042521
21	0.8717553975	0.3541232307
22	0.8748148403	0.3465390582
23	0.8801233267	0.3343932357
24	0.8825666509	0.3262290251
25	0.8842706352	0.3194157469
26	0.8867004792	0.310614079
27	0.8907610973	0.3007036815
28	0.8927046559	0.293632247
29	0.9032390984	0.2829598113
30	0.9061582281	0.2760937489
31	0.9080408566	0.2693253912
32	0.9127614631	0.2635820769
33	0.9144096617	0.2562377417
34	0.9206046974	0.2485309799
35	0.9220974675	0.2414820526
36	0.9275462225	0.2366650426
37	0.9287348349	0.2319208901
38	0.9316303425	0.2272564291
39	0.9346732905	0.2226365599
40	0.9352703339	0.2182027211
41	0.9386166351	0.2131346226
42	0.9423195707	0.2081866885
43	0.9465226625	0.2048581289
44	0.9455562158	0.2005121531
45	0.9443874184	0.1968642199
46	0.9482270991	0.1932474833
47	0.9505154094	0.1902248068
48	0.9539475362	0.1859562381
49	0.9545218176	0.1832402959
50	0.9554782576	0.1797417594
51	0.9573911255	0.1769693084
52	0.9576006334	0.1743714859
53	0.9590197462	0.17162864
54	0.962060629	0.1689346792
55	0.9635599379	0.166216655
56	0.9651067617	0.1632874988
57	0.9678015082	0.1606579136
58	0.9700914807	0.1573837581
59	0.9687269653	0.1545520814
60	0.970800251	0.1523749946
61	0.9696798681	0.1501853634
62	0.9727060896	0.1478073576
63	0.9740324424	0.1458126241
64	0.9753196863	0.1431967215
65	0.9749463681	0.1405817725
66	0.9747400217	0.138547939
67	0.9756929887	0.1371354254
68	0.976852269	0.1351233405
69	0.9781826311	0.1333947861
70	0.9783884093	0.1318618132
71	0.9787617547	0.130630847
72	0.9785559423	0.1285408279
73	0.9804608594	0.1267875811
74	0.9804608594	0.1248630828
75	0.9802932997	0.1227027566
76	0.9808723766	0.1213694008
77	0.9808723766	0.1198774431
78	0.9804608594	0.1182108608
79	0.9816191021	0.1173792176
80	0.9825715529	0.1154944977
81	0.9844780302	0.1140827984
82	0.9848513715	0.1127501279
