iter	Passed	Remaining
0	6	4160
1	27	8671
2	28	5953
3	49	7732
4	70	8877
5	91	9619
6	113	10198
7	115	9053
8	136	9448
9	157	9832
10	180	10200
11	200	10383
12	204	9753
13	225	9993
14	246	10181
15	248	9580
16	268	9750
17	291	9970
18	295	9555
19	297	9131
20	319	9321
21	341	9506
22	364	9681
23	386	9834
24	393	9583
25	414	9690
26	436	9803
27	458	9925
28	479	9996
29	498	10038
30	518	10093
31	539	10146
32	560	10206
33	581	10255
34	602	10309
35	622	10345
36	643	10382
37	664	10426
38	685	10455
39	706	10484
40	731	10578
41	755	10645
42	775	10661
43	796	10678
44	816	10688
45	836	10695
46	857	10712
47	877	10718
48	898	10727
49	918	10733
50	940	10748
51	961	10761
52	981	10762
53	1002	10767
54	1022	10767
55	1042	10764
56	1063	10765
57	1084	10768
58	1104	10762
59	1123	10751
60	1144	10752
61	1165	10749
62	1185	10748
63	1205	10739
64	1227	10742
65	1247	10734
66	1267	10724
67	1288	10723
68	1308	10711
69	1327	10697
70	1347	10687
71	1367	10676
72	1387	10664
73	1407	10654
74	1428	10647
75	1448	10634
76	1468	10622
77	1488	10610
78	1508	10599
79	1528	10585
80	1548	10570
81	1568	10559
82	1588	10543
