listing_id,brand,model,year,city,fuel_type,transmission,owner_number,km_driven,health_score,listing_price,is_promoted,conversion_target,ml_score,promotion_level
LID00001,Honda,City,2017,Pune,Petrol,Manual,First,25156,0.686,483874,0,1,0.7958,Standard
LID00002,Mahindra,Bolero,2012,Bengaluru,Petrol,Manual,First,56379,0.413,430085,0,0,0.3347,Standard
LID00003,Tata,Nexon,2016,Hyderabad,Diesel,Automatic,First,26696,0.642,345291,0,0,0.5159,Standard
LID00004,Tata,Safari,2023,Pune,Petrol,Automatic,Second,96819,0.681,778867,0,0,0.6997,Plus
LID00005,Hyundai,Creta,2020,Mumbai,CNG,Manual,First,26557,0.779,401058,1,1,0.8768,Plus
LID00006,Hyundai,Venue,2017,Hyderabad,CNG,Automatic,First,59504,0.531,260489,1,1,0.8209,Standard
LID00007,Mercedes,GLE,2014,Bengaluru,Petrol,Automatic,Second,45734,0.413,820001,1,0,0.5224,Standard
LID00008,Hyundai,Creta,2014,Chennai,Petrol,Manual,First,69513,0.505,115468,1,0,0.5328,Standard
LID00009,Maruti,Baleno,2021,Kolkata,Petrol,Manual,Second,28629,0.737,488773,0,1,0.8087,Plus
LID00010,Maruti,Vitara Brezza,2019,Mumbai,Petrol,Automatic,Second,59641,0.597,238056,1,1,0.8584,Standard
LID00011,Honda,Amaze,2020,Hyderabad,Petrol,Manual,First,44787,0.702,542932,0,0,0.6551,Standard
LID00012,BMW,X5,2013,Mumbai,Petrol,Automatic,First,82753,0.509,912558,1,0,0.5264,Plus
LID00013,Ford,Figo,2021,Delhi,Petrol,Automatic,Second,84901,0.647,533810,0,0,0.6422,Standard
LID00014,Toyota,Fortuner,2016,Chennai,Petrol,Automatic,First,42025,0.578,308369,1,0,0.5971,Plus
LID00015,Hyundai,Creta,2015,Pune,Diesel,Automatic,First,32871,0.549,155472,0,1,0.7345,Standard
LID00016,Honda,Jazz,2020,Mumbai,Hybrid,Manual,First,31101,0.801,993432,0,0,0.7376,Plus
LID00017,Maruti,Swift,2016,Bengaluru,Petrol,Automatic,Second,115856,0.422,174964,0,0,0.4814,Standard
LID00018,Hyundai,Tucson,2021,Jaipur,Diesel,Automatic,Second,60699,0.678,384474,0,0,0.663,Standard
LID00019,Maruti,Swift,2021,Chennai,Diesel,Manual,Second,25385,0.715,507590,0,0,0.5876,Standard
LID00020,Maruti,WagonR,2017,Bengaluru,Petrol,Automatic,Second,103711,0.436,165491,0,0,0.4965,Standard
LID00021,Mercedes,E-Class,2023,Delhi,Petrol,Automatic,Second,17565,0.851,3586188,0,0,0.7059,Premium
LID00022,Tata,Harrier,2021,Bengaluru,CNG,Manual,Second,85169,0.618,512378,0,0,0.5739,Plus
LID00023,Tata,Nexon,2019,Hyderabad,Diesel,Manual,First,92005,0.682,257283,0,0,0.5933,Standard
LID00024,Volkswagen,Tiguan,2020,Mumbai,Petrol,Automatic,First,62998,0.62,688041,0,1,0.7492,Standard
LID00025,Mahindra,Scorpio,2018,Jaipur,Diesel,Manual,Second,45046,0.634,832093,0,0,0.5639,Plus
LID00026,BMW,5 Series,2019,Mumbai,Electric,Manual,First,48681,0.712,2405290,1,0,0.6714,Premium
LID00027,Tata,Harrier,2023,Chennai,Petrol,Automatic,First,43024,0.85,601182,0,0,0.7069,Plus
LID00028,Kia,Carens,2020,Bengaluru,Petrol,Manual,Second,28844,0.71,603939,1,1,0.8659,Plus
LID00029,Hyundai,Creta,2021,Bengaluru,Diesel,Manual,First,58845,0.775,480209,0,0,0.6584,Plus
LID00030,Maruti,Vitara Brezza,2021,Bengaluru,Petrol,Automatic,First,40572,0.837,515217,0,1,0.852,Plus
LID00031,Maruti,Ciaz,2019,Hyderabad,Petrol,Manual,First,73995,0.571,393383,0,0,0.5697,Standard
LID00032,Maruti,WagonR,2018,Delhi,Petrol,Automatic,First,38760,0.704,347594,0,0,0.6155,Standard
LID00033,Toyota,Innova Crysta,2016,Bengaluru,Diesel,Automatic,First,32955,0.657,287951,1,1,0.7882,Plus
LID00034,Maruti,Ciaz,2020,Delhi,Petrol,Manual,First,23856,0.776,363012,0,0,0.6347,Standard
LID00035,BMW,X3,2016,Pune,Electric,Manual,Second,175131,0.352,2478826,0,0,0.3525,Plus
LID00036,Tata,Nexon,2013,Jaipur,Electric,Automatic,First,41423,0.447,122029,1,0,0.4852,Standard
LID00037,Tata,Harrier,2016,Kolkata,Electric,Manual,First,174183,0.355,364236,1,0,0.5251,Standard
LID00038,Hyundai,Verna,2018,Mumbai,Diesel,Automatic,Second,62503,0.6,400711,0,1,0.7819,Plus
LID00039,Toyota,Urban Cruiser,2019,Bengaluru,Petrol,Automatic,Second,56172,0.594,516292,0,0,0.6007,Plus
LID00040,Tata,Safari,2012,Bengaluru,Diesel,Manual,Second,58023,0.293,191076,0,0,0.3857,Standard
LID00041,Maruti,Ciaz,2013,Bengaluru,Petrol,Automatic,Second,86786,0.379,100000,0,0,0.3811,Standard
LID00042,Hyundai,i20,2020,Ahmedabad,Diesel,Automatic,First,16770,0.745,403266,0,0,0.6741,Plus
LID00043,Maruti,Ciaz,2020,Hyderabad,Petrol,Manual,Second,38378,0.696,415282,0,0,0.6108,Standard
LID00044,Hyundai,Venue,2017,Delhi,Diesel,Manual,First,41663,0.606,387788,0,0,0.3948,Standard
LID00045,Mahindra,Scorpio,2016,Bengaluru,Diesel,Automatic,First,101007,0.418,413524,1,0,0.5414,Standard
LID00046,Tata,Tigor,2021,Mumbai,Electric,Automatic,Second,29931,0.752,757531,0,1,0.7902,Plus
LID00047,Hyundai,Creta,2012,Delhi,Diesel,Manual,Third,20560,0.229,132745,0,0,0.3463,Standard
LID00048,Mahindra,Bolero,2018,Bengaluru,CNG,Manual,Second,119008,0.398,682050,1,0,0.5084,Plus
LID00049,BMW,5 Series,2012,Mumbai,Electric,Automatic,First,105101,0.348,1187065,0,0,0.3795,Standard
LID00050,Hyundai,Creta,2023,Chennai,Petrol,Automatic,First,56075,0.848,664639,0,0,0.7243,Plus
LID00051,Tata,Nexon,2020,Bengaluru,Petrol,Manual,First,178422,0.502,431140,0,1,0.754,Standard
LID00052,Mahindra,Thar,2018,Bengaluru,Petrol,Automatic,Second,20502,0.678,670558,0,0,0.5444,Plus
LID00053,Maruti,Baleno,2023,Hyderabad,CNG,Automatic,First,15558,0.947,562113,0,0,0.7362,Plus
LID00054,Maruti,Vitara Brezza,2023,Delhi,Electric,Automatic,First,76510,0.881,473796,0,0,0.7725,Plus
LID00055,Hyundai,Creta,2021,Chennai,Petrol,Automatic,Second,60136,0.679,379698,0,1,0.823,Standard
LID00056,Mercedes,E-Class,2012,Ahmedabad,Petrol,Manual,Second,60202,0.415,1120743,1,0,0.4626,Plus
LID00057,Maruti,WagonR,2015,Bengaluru,Diesel,Manual,Third,25833,0.401,189348,0,0,0.4155,Standard
LID00058,Mahindra,XUV700,2017,Mumbai,CNG,Manual,Second,59837,0.483,778787,0,0,0.5142,Standard
LID00059,Ford,Endeavour,2012,Mumbai,Electric,Manual,Second,62832,0.381,204016,0,0,0.4197,Standard
LID00060,Kia,Sonet,2022,Bengaluru,Petrol,Manual,Second,55374,0.732,1253368,0,1,0.7638,Plus
LID00061,Mercedes,GLC,2018,Delhi,Diesel,Automatic,Second,36606,0.674,3727356,0,1,0.73,Plus
LID00062,Hyundai,i20,2018,Bengaluru,Hybrid,Manual,Third,41405,0.414,310431,0,0,0.4575,Plus
LID00063,Hyundai,i20,2012,Hyderabad,Petrol,Automatic,First,25317,0.494,123209,1,1,0.6734,Standard
LID00064,Volkswagen,Polo,2015,Delhi,Diesel,Manual,Second,36245,0.54,701246,0,1,0.7595,Standard
LID00065,Maruti,Ciaz,2017,Chennai,Electric,Automatic,First,159346,0.422,142992,0,0,0.462,Standard
LID00066,Tata,Safari,2022,Hyderabad,Diesel,Manual,Third,45825,0.637,474210,0,0,0.6292,Standard
LID00067,Tata,Tiago,2015,Mumbai,Diesel,Automatic,First,55009,0.61,204286,1,1,0.7912,Standard
LID00068,Toyota,Urban Cruiser,2011,Chennai,Electric,Automatic,First,39540,0.446,335137,0,0,0.3104,Standard
